target,category,shape,iteration,temperature,current_config,candidate_config,accepted,current_score_ms,best_config,best_score_ms
edge_square,edge_heavy,130x130x130,6,0.019338,sg_m16n16k8_t8x16,m16n16k8_t16x16,false,0.241104,sg_m16n16k8_t8x16,0.241104
edge_square,edge_heavy,130x130x130,7,0.015667,sg_m16n16k8_t8x16,m16n8k8_t8x16,false,0.241104,sg_m16n16k8_t8x16,0.241104
edge_square,edge_heavy,130x130x130,8,0.012694,sg_m16n16k8_t8x16,m16n16k16_t16x16,false,0.241104,sg_m16n16k8_t8x16,0.241104
edge_square,edge_heavy,130x130x130,9,0.010284,sg_m16n16k8_t8x16,m16n8k8_t8x16,false,0.241104,sg_m16n16k8_t8x16,0.241104
edge_square,edge_heavy,130x130x130,10,0.008332,sg_m16n16k8_t8x16,m16n16k8_t16x16,false,0.241104,sg_m16n16k8_t8x16,0.241104
edge_square,edge_heavy,130x130x130,11,0.006751,sg_m16n16k8_t8x16,m16n8k8_t8x16,false,0.241104,sg_m16n16k8_t8x16,0.241104
edge_rect,irregular,255x257x129,0,0.142966,m8n32k8_t32x8,m8n32k8_t32x8,true,0.499313,m8n32k8_t32x8,0.499313
edge_rect,irregular,255x257x129,1,0.114716,sg_m16n16k8_t32x4,sg_m16n16k8_t32x4,true,0.356499,sg_m16n16k8_t32x4,0.356499
edge_rect,irregular,255x257x129,2,0.066359,sg_m16n16k8_t32x4,m8n32k8_t32x8,false,0.356499,sg_m16n16k8_t32x4,0.356499
edge_rect,irregular,255x257x129,3,0.053764,sg_m16n16k8_t32x4,m8n16k8_t16x8,false,0.356499,sg_m16n16k8_t32x4,0.356499
edge_rect,irregular,255x257x129,4,0.043559,sg_m16n16k8_t32x4,m16n16k8_t16x16,false,0.356499,sg_m16n16k8_t32x4,0.356499
edge_rect,irregular,255x257x129,5,0.035292,sg_m16n16k8_t32x4,m16n16k8_t16x16,false,0.356499,sg_m16n16k8_t32x4,0.356499
edge_rect,irregular,255x257x129,6,0.028593,sg_m16n16k8_t32x4,m16n16k8_t16x16,false,0.356499,sg_m16n16k8_t32x4,0.356499
edge_rect,irregular,255x257x129,7,0.023166,sg_m16n16k8_t16x8,sg_m16n16k8_t16x8,true,0.352188,sg_m16n16k8_t16x8,0.352188
edge_rect,irregular,255x257x129,8,0.018542,sg_m16n16k8_t16x8,m16n16k8_t16x16,false,0.352188,sg_m16n16k8_t16x8,0.352188
edge_rect,irregular,255x257x129,9,0.015023,sg_m16n16k8_t16x8,m16n16k16_t16x16,false,0.352188,sg_m16n16k8_t16x8,0.352188
edge_rect,irregular,255x257x129,10,0.012171,sg_m16n16k8_t16x8,m16n16k8_t16x16,false,0.352188,sg_m16n16k8_t16x8,0.352188
edge_rect,irregular,255x257x129,11,0.009861,sg_m16n16k8_t16x8,m16n16k8_t16x16,false,0.352188,sg_m16n16k8_t16x8,0.352188
