target,category,shape,kernel,family,config,tile_m,tile_n,tile_k,threads_x,threads_y,average_ms,median_ms,min_ms,max_ms,stability_ratio,stable,tuning_score_ms,average_gflops,median_gflops
fused_square128,fused_square,128x128x128,fused_bias_relu,scalar,m32n16k8_t16x32,32,16,8,16,32,0.261021,0.256312,0.246125,0.286834,1.119079,true,0.256312,16.068844,16.364024
fused_square128,fused_square,128x128x128,fused_bias_relu,scalar,m32n32k8_t32x32,32,32,8,32,32,0.256300,0.256375,0.238083,0.278125,1.084837,true,0.256375,16.364829,16.360035
fused_square128,fused_square,128x128x128,fused_bias_relu,scalar,m8n64k8_t64x8,8,64,8,64,8,0.267992,0.260563,0.248333,0.308042,1.182219,true,0.260563,15.650873,16.097113
fused_square128,fused_square,128x128x128,fused_bias_relu,scalar,m64n8k8_t8x64,64,8,8,8,64,0.252358,0.248167,0.235000,0.276584,1.114508,true,0.248167,16.620426,16.901135
fused_square128,fused_square,128x128x128,fused_bias_relu,scalar,m16n64k8_t64x16,16,64,8,64,16,0.259538,0.257167,0.246834,0.294917,1.146792,true,0.257167,16.160680,16.309651
fused_square128,fused_square,128x128x128,fused_bias_relu,scalar,m64n16k8_t16x64,64,16,8,16,64,0.250875,0.249812,0.232958,0.267000,1.068802,true,0.249812,16.718694,16.789808
fused_square128,fused_square,128x128x128,fused_bias_relu,scalar,m16n16k4_t16x16,16,16,4,16,16,0.852429,0.273084,0.254334,6.075084,22.246251,false,6.075084,4.920413,15.359053
fused_square128,fused_square,128x128x128,fused_bias_relu,scalar,m32n8k4_t8x32,32,8,4,8,32,1.582700,0.257104,0.241250,13.376750,52.028557,false,13.376750,2.650094,16.313647
fused_square128,fused_square,128x128x128,fused_bias_relu,simdgroup,sg_m16n16k8_t32x4,16,16,8,32,4,0.274821,0.274250,0.253334,0.295708,1.078242,true,0.274250,15.261960,15.293725
fused_square128,fused_square,128x128x128,fused_bias_relu,simdgroup,sg_m16n16k8_t16x8,16,16,8,16,8,0.304300,0.243105,0.225000,0.519541,2.137110,false,0.519541,13.783451,17.253091
fused_square128,fused_square,128x128x128,fused_bias_relu,simdgroup,sg_m16n16k8_t8x16,16,16,8,8,16,0.249767,0.242313,0.225000,0.296833,1.224998,true,0.242313,16.792887,17.309447
fused_square128,fused_square,128x128x128,mps_bias_relu,,,,,,,,0.191888,0.191750,0.179917,0.207083,1.079963,true,,21.858129,21.873815
fused_medium_rect,fused_rect,192x320x96,naive_matmul,,,,,,,,0.400729,0.394020,0.383500,0.432125,1.096707,true,,29.437543,29.938747
fused_medium_rect,fused_rect,192x320x96,composed_bias_relu,scalar,m8n8k8_t8x8,8,8,8,8,8,0.457442,0.268605,0.259583,2.026125,7.543154,false,2.026125,25.787936,43.917656
fused_medium_rect,fused_rect,192x320x96,composed_bias_relu,scalar,m8n16k8_t16x8,8,16,8,16,8,0.273979,0.268084,0.261541,0.299667,1.117812,true,0.268084,43.056115,44.003007
fused_medium_rect,fused_rect,192x320x96,composed_bias_relu,scalar,m16n8k8_t8x16,16,8,8,8,16,0.261121,0.258688,0.248917,0.290625,1.123458,true,0.258688,45.176315,45.601188
fused_medium_rect,fused_rect,192x320x96,composed_bias_relu,scalar,m16n16k8_t16x16,16,16,8,16,16,0.265563,0.266980,0.253792,0.275083,1.030353,true,0.266980,44.420730,44.184966
fused_medium_rect,fused_rect,192x320x96,composed_bias_relu,scalar,m16n16k16_t16x16,16,16,16,16,16,0.277258,0.270459,0.257834,0.354083,1.309195,true,0.270459,42.546880,43.616599
fused_medium_rect,fused_rect,192x320x96,composed_bias_relu,scalar,m8n32k8_t32x8,8,32,8,32,8,0.279384,0.277062,0.267125,0.310459,1.120538,true,0.277062,42.223252,42.576964
fused_medium_rect,fused_rect,192x320x96,composed_bias_relu,scalar,m32n8k8_t8x32,32,8,8,8,32,0.282917,0.265958,0.257625,0.378333,1.422526,true,0.265958,41.695963,44.354589
fused_medium_rect,fused_rect,192x320x96,composed_bias_relu,scalar,m16n32k8_t32x16,16,32,8,32,16,0.278246,0.277688,0.269166,0.296583,1.068044,true,0.277688,42.395881,42.481058
fused_medium_rect,fused_rect,192x320x96,composed_bias_relu,scalar,m32n16k8_t16x32,32,16,8,16,32,0.263192,0.263251,0.259541,0.268417,1.019626,true,0.263251,44.820849,44.810855
fused_medium_rect,fused_rect,192x320x96,composed_bias_relu,scalar,m32n32k8_t32x32,32,32,8,32,32,0.278658,0.274625,0.269459,0.309875,1.128357,true,0.274625,42.333152,42.954866
fused_medium_rect,fused_rect,192x320x96,composed_bias_relu,scalar,m8n64k8_t64x8,8,64,8,64,8,0.272900,0.271958,0.268334,0.277583,1.020681,true,0.271958,43.226367,43.376030
fused_medium_rect,fused_rect,192x320x96,composed_bias_relu,scalar,m64n8k8_t8x64,64,8,8,8,64,1.017133,0.295541,0.258083,5.514416,18.658717,false,5.514416,11.597773,39.914868
fused_medium_rect,fused_rect,192x320x96,composed_bias_relu,scalar,m16n64k8_t64x16,16,64,8,64,16,0.289050,0.286647,0.266125,0.327666,1.143101,true,0.286647,40.811195,41.153407
fused_medium_rect,fused_rect,192x320x96,composed_bias_relu,scalar,m64n16k8_t16x64,64,16,8,16,64,0.283338,0.268792,0.263708,0.376458,1.400555,true,0.268792,41.633994,43.887020
fused_medium_rect,fused_rect,192x320x96,composed_bias_relu,scalar,m16n16k4_t16x16,16,16,4,16,16,0.330771,0.331562,0.316208,0.355375,1.071819,true,0.331562,35.663608,35.578451
fused_medium_rect,fused_rect,192x320x96,composed_bias_relu,scalar,m32n8k4_t8x32,32,8,4,8,32,0.330642,0.326083,0.315000,0.386208,1.184384,true,0.326083,35.677543,36.176255
fused_medium_rect,fused_rect,192x320x96,composed_bias_relu,simdgroup,sg_m16n16k8_t32x4,16,16,8,32,4,0.236496,0.226396,0.216875,0.281792,1.244686,true,0.226396,49.880273,52.105514
fused_medium_rect,fused_rect,192x320x96,composed_bias_relu,simdgroup,sg_m16n16k8_t16x8,16,16,8,16,8,0.220821,0.216437,0.203125,0.252166,1.165078,true,0.216437,53.421079,54.503066
fused_medium_rect,fused_rect,192x320x96,composed_bias_relu,simdgroup,sg_m16n16k8_t8x16,16,16,8,8,16,0.204896,0.202250,0.199167,0.217834,1.077050,true,0.202250,57.572985,58.326086
fused_medium_rect,fused_rect,192x320x96,fused_bias_relu,scalar,m8n8k8_t8x8,8,8,8,8,8,0.347700,0.342354,0.329209,0.394500,1.152316,true,0.342354,33.927179,34.456966
fused_medium_rect,fused_rect,192x320x96,fused_bias_relu,scalar,m8n16k8_t16x8,8,16,8,16,8,0.340925,0.341291,0.331125,0.354417,1.038458,true,0.341291,34.601373,34.564236
fused_medium_rect,fused_rect,192x320x96,fused_bias_relu,scalar,m16n8k8_t8x16,16,8,8,8,16,1.452837,0.526687,0.326292,6.685500,12.693485,false,6.685500,8.119615,22.397494
fused_medium_rect,fused_rect,192x320x96,fused_bias_relu,scalar,m16n16k8_t16x16,16,16,8,16,16,0.896100,0.518270,0.357792,2.927541,5.648674,false,2.927541,13.164247,22.761241
fused_medium_rect,fused_rect,192x320x96,fused_bias_relu,scalar,m16n16k16_t16x16,16,16,16,16,16,0.512633,0.371437,0.359834,1.400292,3.769926,false,1.400292,23.011532,31.758990
fused_medium_rect,fused_rect,192x320x96,fused_bias_relu,scalar,m8n32k8_t32x8,8,32,8,32,8,0.531888,0.506687,0.413208,0.918500,1.812754,false,0.918500,22.178525,23.281569
fused_medium_rect,fused_rect,192x320x96,fused_bias_relu,scalar,m32n8k8_t8x32,32,8,8,8,32,0.426946,0.382395,0.346416,0.644084,1.684340,false,0.644084,27.629924,30.848899
fused_medium_rect,fused_rect,192x320x96,fused_bias_relu,scalar,m16n32k8_t32x16,16,32,8,32,16,0.365496,0.366896,0.356291,0.373709,1.018569,true,0.366896,32.275273,32.152108
fused_medium_rect,fused_rect,192x320x96,fused_bias_relu,scalar,m32n16k8_t16x32,32,16,8,16,32,0.355934,0.351021,0.345875,0.381917,1.088018,true,0.351021,33.142371,33.606195
fused_medium_rect,fused_rect,192x320x96,fused_bias_relu,scalar,m32n32k8_t32x32,32,32,8,32,32,0.443692,0.399041,0.363334,0.606291,1.519368,false,0.606291,26.587104,29.562038
fused_medium_rect,fused_rect,192x320x96,fused_bias_relu,scalar,m8n64k8_t64x8,8,64,8,64,8,0.367758,0.365208,0.353667,0.386875,1.059328,true,0.365208,32.076720,32.300716
fused_medium_rect,fused_rect,192x320x96,fused_bias_relu,scalar,m64n8k8_t8x64,64,8,8,8,64,0.366183,0.356208,0.343375,0.460000,1.291380,true,0.356208,32.214686,33.116831
fused_medium_rect,fused_rect,192x320x96,fused_bias_relu,scalar,m16n64k8_t64x16,16,64,8,64,16,0.494496,0.380500,0.365833,1.122500,2.950066,false,1.122500,23.855572,31.002576
fused_medium_rect,fused_rect,192x320x96,fused_bias_relu,scalar,m64n16k8_t16x64,64,16,8,16,64,0.363242,0.359209,0.342416,0.417333,1.161813,true,0.359209,32.475558,32.840203
fused_medium_rect,fused_rect,192x320x96,fused_bias_relu,scalar,m16n16k4_t16x16,16,16,4,16,16,0.414212,0.408834,0.397791,0.453291,1.108742,true,0.408834,28.479302,28.853996
fused_medium_rect,fused_rect,192x320x96,fused_bias_relu,scalar,m32n8k4_t8x32,32,8,4,8,32,0.438554,0.431063,0.407959,0.511708,1.187085,true,0.431063,26.898574,27.366055
fused_medium_rect,fused_rect,192x320x96,fused_bias_relu,simdgroup,sg_m16n16k8_t32x4,16,16,8,32,4,0.310538,0.308771,0.297833,0.329167,1.066057,true,0.308771,37.987296,38.204686
fused_medium_rect,fused_rect,192x320x96,fused_bias_relu,simdgroup,sg_m16n16k8_t16x8,16,16,8,16,8,0.312808,0.305917,0.292417,0.391291,1.279078,true,0.305917,37.711555,38.561111
